trial,group,model_name,description,activation,weight_init,dropout,learning_rate,weight_decay,total_parameters,trainable_parameters,model_size_mb,latency_device,batch1_latency_ms,batch64_latency_ms,batch1_images_per_second,batch64_images_per_second,trained,best_epoch,test_loss,test_ndcg@3,test_ndcg@5,max_color_share,checkpoint_dir,log_path,report_path
titlenet,reference,titlenet,Final TitLeNet reference model.,gelu,small_head,0.2,0.0005,0.0001,183732,183732,0.7146682739257812,cuda,2.465469492599368,3.0680351983755827,405.60226074656896,20860.256112408933,True,19,0.005902445227645581,0.9891236672744198,0.9907837348027291,0.3814025060452847,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/checkpoints/titlenet_ablation/titlenet,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/logs/titlenet_ablation/titlenet.jsonl,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/reports/titlenet_ablation/titlenet/full_training_report.md
titlenet_no_se,deletion,titlenet_no_se,Remove SE attention from every residual block.,gelu,small_head,0.2,0.0005,0.0001,163920,163920,0.6390914916992188,cuda,1.4574945252388716,2.7268899604678154,686.1089236929436,23469.96062467456,True,19,0.007095068590795373,0.9858826714627007,0.9878938500502262,0.3910749615300066,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/checkpoints/titlenet_ablation/titlenet_no_se,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/logs/titlenet_ablation/titlenet_no_se.jsonl,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/reports/titlenet_ablation/titlenet_no_se/full_training_report.md
titlenet_no_residual,deletion,titlenet_no_residual,Remove all residual blocks after downsampling layers.,gelu,small_head,0.2,0.0005,0.0001,80048,80048,0.31078338623046875,cuda,0.7766141928732395,1.4536161161959171,1287.6406447071229,44028.130458189094,True,19,0.007799872648336156,0.9837904840177115,0.9861269730949276,0.3965706748735986,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/checkpoints/titlenet_ablation/titlenet_no_residual,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/logs/titlenet_ablation/titlenet_no_residual.jsonl,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/reports/titlenet_ablation/titlenet_no_residual/full_training_report.md
titlenet_no_first_residual,deletion,titlenet_no_first_residual,Remove the residual block from the first downsample stage.,gelu,small_head,0.2,0.0005,0.0001,170856,170856,0.6640701293945312,cuda,1.7032041773200035,2.0364324003458023,587.1286680223523,31427.510183560375,True,11,0.007379837687522219,0.9868052617406604,0.9887572198575553,0.38250164871400305,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/checkpoints/titlenet_ablation/titlenet_no_first_residual,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/logs/titlenet_ablation/titlenet_no_first_residual.jsonl,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/reports/titlenet_ablation/titlenet_no_first_residual/full_training_report.md
titlenet_no_middle_residual,deletion,titlenet_no_middle_residual,Remove the residual block from the middle downsample stage.,gelu,small_head,0.2,0.0005,0.0001,161444,161444,0.6276779174804688,cuda,1.7985024023801088,2.6312534138560295,556.018161931069,24323.008822707714,True,19,0.00622855604813158,0.9880705953142255,0.9898337948896199,0.38250164871400305,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/checkpoints/titlenet_ablation/titlenet_no_middle_residual,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/logs/titlenet_ablation/titlenet_no_middle_residual.jsonl,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/reports/titlenet_ablation/titlenet_no_middle_residual/full_training_report.md
titlenet_no_last_residual,deletion,titlenet_no_last_residual,Remove both residual blocks from the final downsample stage.,gelu,small_head,0.2,0.0005,0.0001,115212,115212,0.44837188720703125,cuda,1.4181256387382746,2.724723219871521,705.1561389791341,23488.624287870894,True,19,0.006233875386688795,0.9874402402809463,0.9893563233461713,0.381182677511541,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/checkpoints/titlenet_ablation/titlenet_no_last_residual,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/logs/titlenet_ablation/titlenet_no_last_residual.jsonl,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/reports/titlenet_ablation/titlenet_no_last_residual/full_training_report.md
titlenet_no_last_extra_residual,deletion,titlenet_no_last_extra_residual,Remove only the extra residual block from the final stage.,gelu,small_head,0.2,0.0005,0.0001,149472,149472,0.5815200805664062,cuda,1.776348166167736,2.8170972783118486,562.9527020918333,22718.420301890368,True,19,0.006004734042189257,0.9886088110269047,0.9904656062206872,0.3820619916465157,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/checkpoints/titlenet_ablation/titlenet_no_last_extra_residual,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/logs/titlenet_ablation/titlenet_no_last_extra_residual.jsonl,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/reports/titlenet_ablation/titlenet_no_last_extra_residual/full_training_report.md
titlenet_no_stem,stage_deletion,titlenet_no_stem,Replace the 3x3 stem with a 1x1 projection.,gelu,small_head,0.2,0.0005,0.0001,182196,182196,0.7088088989257812,cuda,2.0473493356257677,2.963082082569599,488.43642977731116,21599.131652977663,True,19,0.006195050231751262,0.9879252510716506,0.9898923732181465,0.38272147724774674,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/checkpoints/titlenet_ablation/titlenet_no_stem,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/logs/titlenet_ablation/titlenet_no_stem.jsonl,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/reports/titlenet_ablation/titlenet_no_stem/full_training_report.md
titlenet_no_stage1,stage_deletion,titlenet_no_stage1,Replace Stage 1 with a stride-2 1x1 projection.,gelu,small_head,0.2,0.0005,0.0001,170328,170328,0.66168212890625,cuda,1.857887888327241,1.867000125348568,538.2456101268604,34279.590628335514,True,19,0.006136692070727113,0.98864346405888,0.9904000708285885,0.3803033633765663,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/checkpoints/titlenet_ablation/titlenet_no_stage1,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/logs/titlenet_ablation/titlenet_no_stage1.jsonl,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/reports/titlenet_ablation/titlenet_no_stage1/full_training_report.md
titlenet_no_stage2,stage_deletion,titlenet_no_stage2,Replace Stage 2 with a stride-2 1x1 projection.,gelu,small_head,0.2,0.0005,0.0001,160388,160388,0.6229095458984375,cuda,1.8037502560764551,2.533006900921464,554.4004756929128,25266.4135959195,True,19,0.006328028367243086,0.9879472690195691,0.9898358091571143,0.3844801055176962,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/checkpoints/titlenet_ablation/titlenet_no_stage2,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/logs/titlenet_ablation/titlenet_no_stage2.jsonl,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/reports/titlenet_ablation/titlenet_no_stage2/full_training_report.md
titlenet_no_stage3,stage_deletion,titlenet_no_stage3,Replace Stage 3 with a stride-2 1x1 projection.,gelu,small_head,0.2,0.0005,0.0001,113804,113804,0.4420166015625,cuda,1.4889162965118885,2.70270686596632,671.6294276197516,23679.96352320568,True,19,0.006547139623016283,0.9865613574902025,0.9888462254072866,0.3868982193888767,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/checkpoints/titlenet_ablation/titlenet_no_stage3,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/logs/titlenet_ablation/titlenet_no_stage3.jsonl,/home/cvlab/Desktop/Yoon/LighTrip-AI/outputs/reports/titlenet_ablation/titlenet_no_stage3/full_training_report.md
